# ----------------------------------------,,,,,,,,,
Session primary channel group (Default channel group),Date + hour (YYYYMMDDHH),Users,Sessions,Engaged sessions,Average engagement time per session,Engaged sessions per user,Events per session,Engagement rate,Event count
Organic Social,2024040619,98,134,63,77.57462687,0.642857143,4.388059701,0.470149254,588
Organic Social,2024041320,98,108,69,77.42592593,0.704081633,5.287037037,0.638888889,571
Organic Social,2024041520,98,125,63,42.352,0.642857143,4.2,0.504,525
Organic Social,2024042612,98,112,74,93.01785714,0.755102041,5.669642857,0.660714286,635
Organic Social,2024042823,98,121,69,73.28099174,0.704081633,6.685950413,0.570247934,809
Direct,2024041119,97,103,48,28.01941748,0.494845361,4.339805825,0.466019417,447
Direct,2024042123,97,114,52,52.74561404,0.536082474,5.228070175,0.456140351,596
Organic Social,2024041421,97,106,66,43.98113208,0.680412371,5.113207547,0.622641509,542
Organic Social,2024042315,97,115,71,70.36521739,0.731958763,6.034782609,0.617391304,694
Organic Social,2024042415,97,125,70,43.168,0.721649485,4.288,0.56,536
Organic Social,2024042916,97,127,73,67.4488189,0.75257732,5,0.57480315,635
Organic Social,2024050315,97,122,71,37.29508197,0.731958763,4.827868852,0.581967213,589
Organic Social,2024041115,96,132,68,42.41666667,0.708333333,4.537878788,0.515151515,599
Organic Social,2024041512,96,103,57,41.10679612,0.59375,4.747572816,0.553398058,489
Organic Social,2024041620,96,115,67,68.30434783,0.697916667,5.434782609,0.582608696,625
Organic Social,2024042319,96,123,62,57.42276423,0.645833333,5.552845528,0.504065041,683
Organic Social,2024042418,96,125,70,50.744,0.729166667,5.048,0.56,631
Organic Social,2024042822,96,112,66,64.77678571,0.6875,7.482142857,0.589285714,838
Organic Social,2024043022,96,115,65,59.03478261,0.677083333,5.530434783,0.565217391,636
Organic Social,2024050110,96,110,58,60.28181818,0.604166667,5.218181818,0.527272727,574
Organic Social,2024041120,95,112,62,32.0625,0.652631579,4.133928571,0.553571429,463
Organic Social,2024041423,95,113,61,45.67256637,0.642105263,5.318584071,0.539823009,601
Organic Social,2024041813,95,106,79,63.73584906,0.831578947,5.811320755,0.745283019,616
Organic Social,2024042216,95,111,61,56.04504505,0.642105263,5.72972973,0.54954955,636
Organic Social,2024042219,95,121,69,71.18181818,0.726315789,5.347107438,0.570247934,647
Organic Social,2024042313,95,114,68,105.8596491,0.715789474,5.421052632,0.596491228,618
Organic Social,2024042911,95,116,66,46.60344828,0.694736842,4.396551724,0.568965517,510
Organic Social,2024050100,95,151,51,41.74172185,0.536842105,4.364238411,0.337748344,659
Organic Social,2024050220,95,111,75,50.95495495,0.789473684,5.153153153,0.675675676,572
Organic Social,2024050312,95,123,67,55.20325203,0.705263158,4.943089431,0.544715447,608
Organic Social,2024040819,94,114,64,51.21052632,0.680851064,4.271929825,0.561403509,487
Organic Social,2024041016,94,126,58,44.64285714,0.617021277,3.888888889,0.46031746,490
Organic Social,2024041419,94,105,74,66.2952381,0.787234043,6.333333333,0.704761905,665
Organic Social,2024042915,94,120,70,57.2,0.744680851,5.15,0.583333333,618
Direct,2024041223,93,117,46,47.15384615,0.494623656,4.547008547,0.393162393,532
Organic Social,2024041816,93,127,73,64.18110236,0.784946237,5.968503937,0.57480315,758
Organic Social,2024041917,93,128,52,30.3203125,0.559139785,3.890625,0.40625,498
Organic Social,2024042419,93,113,70,82.49557522,0.752688172,4.96460177,0.619469027,561
Organic Social,2024042614,93,115,74,93.03478261,0.795698925,5.930434783,0.643478261,682
Organic Social,2024042717,93,117,58,43.23076923,0.623655914,4.170940171,0.495726496,488
Organic Social,2024042917,93,114,68,201.5877193,0.731182796,4.684210526,0.596491228,534
Organic Social,2024050319,93,117,61,48.82051282,0.655913978,4.641025641,0.521367521,543
Organic Search,2024042212,92,102,65,60.29411765,0.706521739,4.509803922,0.637254902,460
Organic Social,2024041015,92,120,68,52.90833333,0.739130435,5.233333333,0.566666667,628
Organic Social,2024041116,92,129,64,42.75193798,0.695652174,5.100775194,0.496124031,658
Organic Social,2024041418,92,108,64,41.77777778,0.695652174,4.851851852,0.592592593,524
Organic Social,2024041817,92,127,67,92.75590551,0.72826087,6.047244094,0.527559055,768
Organic Social,2024041821,92,115,57,42.50434783,0.619565217,4.452173913,0.495652174,512
Organic Social,2024041920,92,122,64,58.29508197,0.695652174,4.352459016,0.524590164,531
Organic Social,2024042019,92,104,61,64.125,0.663043478,5.711538462,0.586538462,594
Organic Social,2024042515,92,112,67,52.10714286,0.72826087,4.991071429,0.598214286,559
Organic Social,2024042618,92,114,60,100.3421053,0.652173913,4.201754386,0.526315789,479
Direct,2024041123,91,106,55,39.09433962,0.604395604,4.216981132,0.518867925,447
Direct,2024041720,91,113,53,53.5840708,0.582417582,4.469026549,0.469026549,505
Organic Social,2024040818,91,115,58,51.4173913,0.637362637,5.069565217,0.504347826,583
Organic Social,2024041600,91,148,53,21.95945946,0.582417582,4.081081081,0.358108108,604
Organic Social,2024042913,91,108,64,58.35185185,0.703296703,4.861111111,0.592592593,525
Organic Social,2024043017,91,109,57,64.03669725,0.626373626,4.660550459,0.52293578,508
Organic Social,2024050111,91,106,62,51.40566038,0.681318681,5.41509434,0.58490566,574
Organic Social,2024040820,90,116,56,46.87068966,0.622222222,4.724137931,0.482758621,548
Organic Social,2024040915,90,126,57,49.98412698,0.633333333,4.738095238,0.452380952,597
Organic Social,2024041100,90,145,53,35.46206897,0.588888889,4.034482759,0.365517241,585
Organic Social,2024041815,90,102,65,81.07843137,0.722222222,6.480392157,0.637254902,661
Organic Social,2024042321,90,107,66,41.54205607,0.733333333,4.981308411,0.61682243,533
Organic Social,2024042613,90,102,61,68.8627451,0.677777778,4.647058824,0.598039216,474
Organic Social,2024043023,90,114,54,63.80701754,0.6,5.5,0.473684211,627
Organic Social,2024040719,89,116,68,41.62068966,0.764044944,5.051724138,0.586206897,586
Organic Social,2024040720,89,115,65,69.19130435,0.730337079,5.252173913,0.565217391,604
Organic Social,2024041214,89,106,68,61.18867925,0.764044944,4.669811321,0.641509434,495
Organic Social,2024041317,89,116,56,51.44827586,0.629213483,4.439655172,0.482758621,515
Organic Social,2024041611,89,106,67,51.48113208,0.752808989,5.5,0.632075472,583
Organic Social,2024041811,89,104,62,71.17307692,0.696629213,5.461538462,0.596153846,568
Organic Social,2024043011,89,108,67,51.85185185,0.752808989,5.231481481,0.62037037,565
Organic Social,2024041918,88,114,50,55.09649123,0.568181818,4.50877193,0.438596491,514
Organic Social,2024042417,88,116,62,49.68965517,0.704545455,4.784482759,0.534482759,555
Organic Social,2024042523,88,112,64,61.20535714,0.727272727,4.705357143,0.571428571,527
Organic Social,2024042623,88,118,58,51.11864407,0.659090909,4.483050847,0.491525424,529
Organic Social,2024043010,88,100,66,83.41,0.75,6.32,0.66,632
Organic Social,2024043012,88,104,65,57,0.738636364,5.173076923,0.625,538
Organic Social,2024050200,88,129,49,19.79069767,0.556818182,4.372093023,0.379844961,564
Organic Social,2024050210,88,100,63,78.34,0.715909091,5.71,0.63,571
Organic Search,2024041819,87,99,59,35.26262626,0.67816092,3.636363636,0.595959596,360
Organic Search,2024041821,87,107,53,43.63551402,0.609195402,3.439252336,0.495327103,368
Organic Social,2024040718,87,110,50,22.90909091,0.574712644,4.081818182,0.454545455,449
Organic Social,2024040811,87,104,69,89.27884615,0.793103448,5.394230769,0.663461538,561
Organic Social,2024042210,87,105,68,74.2952381,0.781609195,5.019047619,0.647619048,527
Organic Social,2024042421,87,101,54,50.55445545,0.620689655,4.95049505,0.534653465,500
Organic Social,2024042820,87,107,57,43.97196262,0.655172414,5.252336449,0.53271028,562
Organic Social,2024050115,87,110,59,48.69090909,0.67816092,4.281818182,0.536363636,471
Organic Social,2024050309,87,104,65,64.36538462,0.747126437,5.759615385,0.625,599
Direct,2024041716,86,95,49,49.55789474,0.569767442,4.347368421,0.515789474,413
Direct,2024041821,86,95,55,42.48421053,0.639534884,4.621052632,0.578947368,439
Direct,2024042518,86,102,56,40.81372549,0.651162791,4.529411765,0.549019608,462
Organic Social,2024040721,86,95,58,53.96842105,0.674418605,4.589473684,0.610526316,436
Organic Social,2024041523,86,110,62,40.31818182,0.720930233,3.918181818,0.563636364,431
Organic Social,2024041616,86,112,61,50.35714286,0.709302326,4.892857143,0.544642857,548
Organic Social,2024041923,86,101,52,59.47524752,0.604651163,5.683168317,0.514851485,574
Organic Social,2024042513,86,105,62,41.26666667,0.720930233,4.923809524,0.59047619,517
Organic Social,2024040810,85,104,66,100.2980769,0.776470588,5.490384615,0.634615385,571
Organic Social,2024040813,85,116,64,57.43103448,0.752941176,4.887931034,0.551724138,567
Organic Social,2024041117,85,103,60,35.14563107,0.705882353,4.553398058,0.582524272,469
Organic Social,2024041522,85,103,59,49.6407767,0.694117647,5.019417476,0.572815534,517
Organic Social,2024041618,85,102,58,60.79411765,0.682352941,5.725490196,0.568627451,584
Organic Social,2024041919,85,116,53,38.42241379,0.623529412,4.155172414,0.456896552,482
Organic Social,2024042212,85,95,65,69.58947368,0.764705882,5.115789474,0.684210526,486
Organic Social,2024042412,85,102,65,80.17647059,0.764705882,4.950980392,0.637254902,505
Organic Social,2024042921,85,102,70,101.6078431,0.823529412,7.098039216,0.68627451,724
Organic Social,2024050113,85,106,55,55.32075472,0.647058824,4.396226415,0.518867925,466
Organic Social,2024050301,85,108,67,40.73148148,0.788235294,5.398148148,0.62037037,583
Referral,2024050211,85,95,71,207.5684211,0.835294118,7.231578947,0.747368421,687
Direct,2024041721,84,96,52,44.33333333,0.619047619,4.552083333,0.541666667,437
Direct,2024041818,84,98,44,33.63265306,0.523809524,4.142857143,0.448979592,406
Direct,2024041819,84,90,56,38.97777778,0.666666667,6.155555556,0.622222222,554
Organic Search,2024041515,84,96,49,47.33333333,0.583333333,4.333333333,0.510416667,416
Organic Search,2024041722,84,97,56,29.26804124,0.666666667,3.567010309,0.577319588,346
Organic Social,2024040611,84,111,62,50.76576577,0.738095238,4.756756757,0.558558559,528
Organic Social,2024040711,84,103,63,49.33009709,0.75,5.708737864,0.611650485,588
Organic Social,2024040712,84,101,62,46.28712871,0.738095238,5.514851485,0.613861386,557
Organic Social,2024041011,84,102,59,53.00980392,0.702380952,5.156862745,0.578431373,526
Organic Social,2024041420,84,94,56,79.93617021,0.666666667,6.308510638,0.595744681,593
Organic Social,2024041610,84,104,58,62.05769231,0.69047619,4.990384615,0.557692308,519
Organic Social,2024042110,84,124,49,17.45967742,0.583333333,3.822580645,0.39516129,474
Organic Social,2024042200,84,130,64,41.9,0.761904762,5.269230769,0.492307692,685
Referral,2024050311,84,95,73,152.9368421,0.869047619,7.915789474,0.768421053,752
Direct,2024041712,83,90,51,37.07777778,0.614457831,4.266666667,0.566666667,384
Direct,2024041714,83,90,52,55.01111111,0.626506024,4.344444444,0.577777778,391
Organic Search,2024042315,83,92,57,59.77173913,0.686746988,4.010869565,0.619565217,369
Organic Social,2024040621,83,110,50,28.67272727,0.602409639,4.145454545,0.454545455,456
Organic Social,2024041217,83,100,57,64.61,0.686746988,4.72,0.57,472
Organic Social,2024041415,83,101,58,47.66336634,0.698795181,4.762376238,0.574257426,481
Organic Social,2024041422,83,101,52,55.96039604,0.626506024,5.267326733,0.514851485,532
Organic Social,2024041911,83,104,57,47.28846154,0.686746988,4.730769231,0.548076923,492
Organic Social,2024042700,83,125,57,31.576,0.686746988,3.728,0.456,466
Organic Social,2024042720,83,102,55,41.08823529,0.662650602,4.039215686,0.539215686,412
Organic Social,2024050212,83,98,63,57.26530612,0.759036145,5.06122449,0.642857143,496
Direct,2024041513,82,99,46,28.72727273,0.56097561,4.666666667,0.464646465,462
Direct,2024042517,82,86,54,32.98837209,0.658536585,4,0.627906977,344
Organic Search,2024041815,82,95,58,41.58947368,0.707317073,4.094736842,0.610526316,389
Organic Search,2024041822,82,85,53,69.65882353,0.646341463,4.235294118,0.623529412,360
Organic Search,2024041911,82,95,59,48.83157895,0.719512195,3.989473684,0.621052632,379
Organic Social,2024040916,82,108,52,52.10185185,0.634146341,10.34259259,0.481481481,1117
Organic Social,2024041114,82,103,59,50.2038835,0.719512195,4.524271845,0.572815534,466
Organic Social,2024041319,82,106,64,60.67924528,0.780487805,6.198113208,0.603773585,657
Organic Social,2024041615,82,110,54,61.5,0.658536585,4.427272727,0.490909091,487
Organic Social,2024041921,82,110,52,53.05454545,0.634146341,4.827272727,0.472727273,531
Organic Social,2024042021,82,98,56,60.66326531,0.682926829,5.316326531,0.571428571,521
Organic Social,2024042111,82,105,53,42.07619048,0.646341463,4.485714286,0.504761905,471
Organic Social,2024042400,82,125,55,26.288,0.670731707,4.488,0.44,561
Organic Social,2024050112,82,102,62,54.07843137,0.756097561,4.862745098,0.607843137,496
Organic Social,2024050219,82,99,59,53.42424242,0.719512195,5.131313131,0.595959596,508
Direct,2024050122,81,96,53,76.10416667,0.654320988,4.260416667,0.552083333,409
Organic Search,2024040815,81,86,48,97.8255814,0.592592593,5.104651163,0.558139535,439
Organic Social,2024040919,81,105,54,36.06666667,0.666666667,4.60952381,0.514285714,484
Organic Social,2024041411,81,100,50,48.36,0.617283951,4.85,0.5,485
Organic Social,2024041417,81,93,55,42.52688172,0.679012346,4.913978495,0.591397849,457
Organic Social,2024041619,81,102,57,59.20588235,0.703703704,5.715686275,0.558823529,583
Organic Social,2024042000,81,139,58,16.4028777,0.716049383,3.589928058,0.417266187,499
Organic Social,2024042411,81,99,57,58.05050505,0.703703704,5.686868687,0.575757576,563
Organic Social,2024042509,81,108,57,40.0462963,0.703703704,4.712962963,0.527777778,509
Organic Social,2024042723,81,95,51,32.53684211,0.62962963,4.578947368,0.536842105,435
Organic Social,2024050218,81,107,59,68.77570093,0.728395062,5.61682243,0.551401869,601
Referral,2024041715,81,91,57,107.0989011,0.703703704,5.714285714,0.626373626,520
Direct,2024041718,80,96,48,67.07291667,0.6,4.208333333,0.5,404
Organic Search,2024041512,80,91,54,51.42857143,0.675,4.054945055,0.593406593,369
Organic Search,2024041721,80,88,45,36.875,0.5625,4.329545455,0.511363636,381
Organic Search,2024041919,80,95,57,41.32631579,0.7125,3.905263158,0.6,371
Organic Social,2024040613,80,97,55,50.40206186,0.6875,5.020618557,0.567010309,487
Organic Social,2024041215,80,92,52,56.41304348,0.65,5.304347826,0.565217391,488
Organic Social,2024041219,80,93,53,62.86021505,0.6625,5.172043011,0.569892473,481
Organic Social,2024041621,80,97,53,70.55670103,0.6625,6.463917526,0.546391753,627
Organic Social,2024041914,80,95,58,42.88421053,0.725,4.863157895,0.610526316,462
Organic Social,2024050217,80,99,55,49.04040404,0.6875,5.565656566,0.555555556,551
Organic Social,2024050323,80,98,58,26.20408163,0.725,4.326530612,0.591836735,424
Referral,2024041821,80,85,58,90.56470588,0.725,6.047058824,0.682352941,514
Direct,2024041521,79,99,48,39.57575758,0.607594937,4.444444444,0.484848485,440
Direct,2024041621,79,89,53,37.70786517,0.670886076,4.258426966,0.595505618,379
Direct,2024041822,79,102,46,30.37254902,0.582278481,4.735294118,0.450980392,483
Organic Search,2024040811,79,87,57,62.14942529,0.721518987,4.16091954,0.655172414,362
Organic Search,2024041514,79,90,45,57.88888889,0.569620253,3.644444444,0.5,328
Organic Social,2024040816,79,112,58,35.69642857,0.734177215,4.866071429,0.517857143,545
Organic Social,2024040822,79,102,57,36.66666667,0.721518987,4.078431373,0.558823529,416
Organic Social,2024041019,79,103,55,42.62135922,0.696202532,4.689320388,0.533980583,483
Organic Social,2024041118,79,89,55,44.06741573,0.696202532,4.584269663,0.617977528,408
Organic Social,2024041218,79,95,58,51.52631579,0.734177215,5.2,0.610526316,494
Organic Social,2024041822,79,101,61,53.97029703,0.772151899,5.564356436,0.603960396,562
Organic Social,2024041910,79,106,49,32.32075472,0.620253165,4.367924528,0.462264151,463
Organic Social,2024042322,79,105,58,53.15238095,0.734177215,5.152380952,0.552380952,541
Organic Social,2024042423,79,100,51,61.11,0.64556962,5.41,0.51,541
Referral,2024043016,79,89,60,101.4269663,0.759493671,6.898876404,0.674157303,614
Referral,2024050312,79,88,65,120.1477273,0.82278481,5.772727273,0.738636364,508
Direct,2024042922,78,93,42,67.13978495,0.538461538,5.35483871,0.451612903,498
Direct,2024050223,78,87,42,41.25287356,0.538461538,4.632183908,0.482758621,403
Organic Search,2024041615,78,87,52,66.11494253,0.666666667,4.252873563,0.597701149,370
Organic Search,2024041820,78,88,53,34.21590909,0.679487179,3.534090909,0.602272727,311
Organic Social,2024040713,78,91,56,48.24175824,0.717948718,5.428571429,0.615384615,494
Organic Social,2024040911,78,96,59,240,0.756410256,4.979166667,0.614583333,478
Organic Social,2024040917,78,105,51,28.86666667,0.653846154,4.514285714,0.485714286,474
Organic Social,2024041222,78,104,50,56.43269231,0.641025641,5.346153846,0.480769231,556
Organic Social,2024041316,78,110,54,48.41818182,0.692307692,4.536363636,0.490909091,499
Organic Social,2024041612,78,94,60,66.70212766,0.769230769,4.978723404,0.638297872,468
Organic Social,2024041814,78,94,57,73.25531915,0.730769231,5.936170213,0.606382979,558
Organic Social,2024041912,78,102,51,58.12745098,0.653846154,4.450980392,0.5,454
Organic Social,2024042512,78,91,52,52.53846154,0.666666667,5.351648352,0.571428571,487
Organic Social,2024042716,78,120,53,28.29166667,0.679487179,3.475,0.441666667,417
Organic Social,2024050314,78,91,62,69.72527473,0.794871795,5.21978022,0.681318681,475
